tconst,titleType,primaryTitle,originalTitle,averageRating,numVotes,score,rank,ordering,nconst,category,job,characters
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,9.3,2556759,2.3777858700000003E7,1,1,nm0000209,actor,\N,"[\"Andy Dufresne\"]"
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,9.3,2556759,2.3777858700000003E7,1,6,nm0000175,writer,"based on the short novel \"Rita Hayworth and the Shawshank Redemption\" by",\N
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,9.3,2556759,2.3777858700000003E7,1,7,nm0555550,producer,producer,\N
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,9.3,2556759,2.3777858700000003E7,1,3,nm0348409,actor,\N,"[\"Warden Norton\"]"
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,9.3,2556759,2.3777858700000003E7,1,5,nm0001104,director,\N,\N
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,9.3,2556759,2.3777858700000003E7,1,9,nm0005683,cinematographer,director of photography,\N
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,9.3,2556759,2.3777858700000003E7,1,10,nm0290358,editor,\N,\N
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,9.3,2556759,2.3777858700000003E7,1,2,nm0000151,actor,\N,"[\"Ellis Boyd 'Red' Redding\"]"
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,9.3,2556759,2.3777858700000003E7,1,8,nm0002353,composer,\N,\N
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,9.3,2556759,2.3777858700000003E7,1,4,nm0006669,actor,\N,"[\"Heywood\"]"
